bookId,英文书名,中文书名,系列,词1英文,词1中文,词2英文,词2中文,词3英文,词3中文,词4英文,词4中文,词5英文,词5中文,词6英文,词6中文,词7英文,词7中文,词8英文,词8中文,词9英文,词9中文,词10英文,词10中文,词11英文,词11中文,词12英文,词12中文,词13英文,词13中文,词14英文,词14中文,词15英文,词15中文
ls-phonics-2-01,Doctor Duck,鸭子医生,丽声拼读故事会2—1,ring,打电话,rang,打电话,hopping,跳,singing,唱,sick,生病,Quick,快,Duck,鸭子,back,回来,luck,幸运的,box,盒子,mix,混合,six,六,,,,,,
ls-phonics-2-02,Singing Dad,爱唱歌的爸爸,丽声拼读故事会2—1,singer,歌手,sings,唱歌,long,整个地,Song,歌,digging,挖,chopping,砍,shod,棚,she,她,shops,商店,after,在...之后,,,,,,,,,,
ls-phonics-2-03,Fish and Chips,炸鱼薯条,丽声拼读故事会2—1,Fish,鱼,shop,店,shut,关门,Chip,薯条,Which,哪一个,much,大量的,thin,细的,This,这个,,,,,,,,,,,,,,
ls-phonics-2-04,This and That,这个和那个,丽声拼读故事会2—1,chess,国际象棋,shells,贝壳,This,这,That,那,Mr,先生,have,买,some,一些,Mrs,太太,,,,,,,,,,,,,,
ls-phonics-2-05,Miss Miss,想念小姐,丽声拼读故事会2—1,will,要,tell,告诉,ball,球,bell,铃,doll,玩具娃娃,Miss,老师,mess,一团糟,off,离开,Buzz,表示警告,,,,,,,,,,,,
ls-phonics-2-06,The Odd Pet,奇怪的宠物,丽声拼读故事会2—1,has,有,legs,腿,sit,坐,lots,很多的,eggs,蛋,yet,到目前为止,odd,奇怪的,beg,讨好,hop,跳,Now,现在,,,,,,,,,,
ls-phonics-2-07,Animal Quiz,动物猜猜看,丽声拼读故事会2—2,gull,海鸥,buzz,嗡嗡声,dish,盘子,chicks,小鸡,chips,薯条,chickens,鸡肉,puffin,海鹦,wing,翅膀,pocket,口袋,vixen,雌狐狸,their,他们的,,,,,,,,
ls-phonics-2-08,Mr Zed,泽德先生,丽声拼读故事会2—2,yelling,大喊，吼叫,yells,大喊,quill,羽毛笔,will,将要，会,puffing,大口喘气,whizzing,嗖嗖飞驰,hush,嘘,wish,希望,then,然后,them,他们,tick,滴答作响,tack,大头钉,tock,滴答声,,,,
ls-phonics-2-09,The Doll in the Bin,垃圾桶里的娃娃,丽声拼读故事会2—2,doll,洋娃娃,fell,跌倒,missing,丢失的,rubbish,垃圾,things,东西,when,什么时候,patting,轻拍,picks,捡起,boxes,盒子,school,学校,let's,让我们,wash,洗刷,,,,,,
ls-phonics-2-10,The Ox and the Yak,公牛和牦牛,丽声拼读故事会2—2,chat,聊天,sang,唱歌,long,长的,gong,铜锣,socks,袜子（复数）,pack,收拾行李,duck,鸭子,quack,鸭叫声,luck,幸运的,ox,公牛,said,说,very,非常,good,好,,,,
ls-phonics-2-11,The Seven Kids,七只小山羊,丽声拼读故事会2—2,tells,告诉,shall,将,shack,棚屋,wind,风,sack,大袋子,quick,快的,rocks,岩石,fox,狐狸,six,六,live,生活,puts,放置,,,,,,,,
ls-phonics-2-12,Ron Rabbit's Egg,兔子罗恩的蛋,丽声拼读故事会2—2,will,将要,sell,卖,shell,贝壳,jazz,爵士乐,rich,富有的,chocs,巧克力,hatch,孵化,catch,抓住,bang,砰的巨响,hammock,吊床,racket,吵闹声、球拍,jacket,夹克,pockets,口袋,sax,萨克斯管,,
youyou-3-01,Bella the Babysitter,保姆贝拉,悠游阅读成长计划3—1,couch,沙发,flour,面粉,puff,喷,sneeze,打喷嚏,tug-of-war,拔河,blanket,毯子,,,,,,,,,,,,,,,,,,
youyou-3-02,Caterpillar's Dream,毛毛虫的梦想,悠游阅读成长计划3—1,caterpillar,毛毛虫,beetle,甲虫,laugh at,嘲笑,depressed,沮丧的,strong,强壮的,change,改变,,,,,,,,,,,,,,,,,,
youyou-3-03,Daisy Dragon,小龙黛西,悠游阅读成长计划3—1,dragon,龙,live,居住,mountain,山,children,孩子们,fish,钓鱼,fire,火,,,,,,,,,,,,,,,,,,
youyou-3-04,The Crab and the Starfish,螃蟹和海星,悠游阅读成长计划3—1,crab,螃蟹,whale,鲸鱼,starfish,海星,dolphin,海豚,shark,鲨鱼,island,岛,,,,,,,,,,,,,,,,,,
youyou-3-05,My Tooth Hurts,牙疼,悠游阅读成长计划3—1,sweets,糖果,fairy,仙女,peas,豌豆,lettuce,生菜,broccoli,西兰花,smile,微笑,,,,,,,,,,,,,,,,,,
youyou-3-06,Doctor Mouse,老鼠医生,悠游阅读成长计划3—1,begin,开始,thorn,刺,shell,贝壳,take your temperature,量体温,pills,药片,card,卡片,,,,,,,,,,,,,,,,,,
youyou-3-07,Panda's Pink Bike,熊猫的粉色自行车,悠游阅读成长计划3—2,hand,手,handlebar,把手,pedal,脚踏板,ring,按铃,bell,铃铛,training wheel,辅助轮,,,,,,,,,,,,,,,,,,
youyou-3-08,Dave Makes the Save,聪明的小蚂蚁,悠游阅读成长计划3—2,ant,蚂蚁,march,前进,lead,带领,piece,一片,hold up,举起,cheer,欢呼,,,,,,,,,,,,,,,,,,
youyou-3-09,Sarah and the Very Old Tree,莎拉和老树,悠游阅读成长计划3—2,shade,树荫,fire truck,消防车,fireman,消防员,cut off,砍掉,cut down,砍倒,bookcase,书架,,,,,,,,,,,,,,,,,,
youyou-3-10,Let's Swim,一起来游泳,悠游阅读成长计划3—2,beach,海滩,watch,看,show,示范,wave,波浪,toe,脚趾,back,背部,,,,,,,,,,,,,,,,,,
youyou-3-11,For Flora,谁是小芙,悠游阅读成长计划3—2,gloves,手套,stuff,东西,sunglasses,太阳镜,jeans,牛仔裤,woman,女人,scarecrow,稻草人,,,,,,,,,,,,,,,,,,
youyou-3-12,Be Polite,有礼貌,悠游阅读成长计划3—2,honey,蜂蜜,smell,气味,hive,蜂房,rude,没礼貌的,polite,有礼貌的,please,请,,,,,,,,,,,,,,,,,,
youyou-3-13,Are There Dinosaurs?,那儿有恐龙吗？,悠游阅读成长计划3—3,dinosaur,恐龙,alligator,鳄鱼,ostrich,鸵鸟,hump,大鼓包,camel,骆驼,disappointed,失望的,,,,,,,,,,,,,,,,,,
youyou-3-14,Ceanny's New Car,奶奶的新车,悠游阅读成长计划3—3,granny,奶奶,button,按钮,seat belt,安全带,hold on,坐稳,bounce,跳跃,zoom,疾行,,,,,,,,,,,,,,,,,,
youyou-3-15,Lights Out,停电了,悠游阅读成长计划3—3,lightning,闪电,thunder,雷,candle,蜡烛,hand shadow,手影,pigeon,鸽子,learn,学习,,,,,,,,,,,,,,,,,,
youyou-3-16,A Winter Cave for Bernard,怕黑的伯纳德,悠游阅读成长计划3—3,sleep,睡觉,hesitate,犹豫,embarrassed,尴尬的,think,想,puzzled,困惑的,return,回来,,,,,,,,,,,,,,,,,,
youyou-3-17,To the Forest,去森林,悠游阅读成长计划3—3,wolf,狼,tea,茶,listen,听,deer,鹿,rat,老鼠,wear,戴,,,,,,,,,,,,,,,,,,
youyou-3-18,Brian's Long Hair,布赖恩的长发,悠游阅读成长计划3—3,wild,乱糟糟的,tidy,整齐的,hairdresser,理发师,hairstyle,发型,braids,辫子,curly,卷曲的,,,,,,,,,,,,,,,,,,
youyou-3-19,The Magic Stone,魔法石头,悠游阅读成长计划3—4,magic stone,魔法石,witch,女巫,the poor,穷人,nasty,讨厌的,hut,小屋,hate,憎恨,,,,,,,,,,,,,,,,,,
youyou-3-20,Peanut Butter Sandwiches,花生酱三明治,悠游阅读成长计划3—4,peanut butter,花生酱,sandwich,三明治,empty,空的,grocery,食品店,chicken,鸡肉,noodle soup,汤面,,,,,,,,,,,,,,,,,,
youyou-3-21,George in the Hot Air Balloon,乔治的热气球之旅,悠游阅读成长计划3—4,hot air balloon,热气球,south,向南方,gull,海鸥,sink,下沉,swan,天鹅,pelican,鹈鹕,,,,,,,,,,,,,,,,,,
youyou-3-22,Jack's Sandcastle,杰克的沙堡,悠游阅读成长计划3—4,sandcastle,沙煲,lie,躺,watch out,小心,seaweed,海草,flag,旗子,grand,宏伟的,,,,,,,,,,,,,,,,,,
youyou-3-23,Just Right,刚刚好,悠游阅读成长计划3—4,pick,摘,blackberry,黑莓,hazelnut,榛子,upset,沮丧的,fetch,取,thick,厚的,,,,,,,,,,,,,,,,,,
youyou-3-24,The Leaf Leaves Home,树叶离家记,悠游阅读成长计划3—4,maple tree,枫树,fall,秋天,river,河,hamster,仓鼠,night,夜晚,sparrow,麻雀,,,,,,,,,,,,,,,,,,
youyou-3-25,Lazybones Does the Cleaning,懒骨头的好办法,悠游阅读成长计划3—5,captain,船长,king,国王,chef,厨师,bottle,瓶子,first mate,大幅,bow,鞠躬,,,,,,,,,,,,,,,,,,
youyou-3-26,Pig Chase,抓猪比赛,悠游阅读成长计划3—5,chase,追捕,bag,袋子,squeal,尖叫,bump,冲撞,struggle,挣扎,escape,逃跑,,,,,,,,,,,,,,,,,,
youyou-3-27,The Mud Pie Party,泥饼派对,悠游阅读成长计划3—5,mud pie,泥饼,worried,担心的,decorate,装饰,twig,细枝,pebble,鹅卵石,giggle,咯咯笑,,,,,,,,,,,,,,,,,,
youyou-3-28,Take Care of Your Plant,皮普种花,悠游阅读成长计划3—5,playhouse,儿童游戏房,balcony,阳台,sunshine,阳光,wilt,枯萎,water,浇水,bud,花蕾,,,,,,,,,,,,,,,,,,
youyou-3-29,The First Time on a Plane,第一次坐飞机,悠游阅读成长计划3—5,airport,机场,fasten,系牢,stewardess,空姐,swallow,吞咽,screen,屏幕,pilot,飞行员,,,,,,,,,,,,,,,,,,
youyou-3-30,Dot's Christmas,多特的圣诞节,悠游阅读成长计划3—5,robin,知更鸟,weak,虚弱的,chop,砍,Christmas tree,圣诞树,feeder,喂食器,star,星星,,,,,,,,,,,,,,,,,,
youyou-3-31,The Shy Turtle,害羞的乌龟,悠游阅读成长计划3—6,recess,休息时间,shy,害羞的,peek,偷看,point,指,mitt,棒球手套,team,队,,,,,,,,,,,,,,,,,,
youyou-3-32,Mr. Pintop's Robot,钉头先生的机器人,悠游阅读成长计划3—6,inventor,发明家,robot,机器人,test tube,试管,pump up,打气,tire,轮胎,mayor,市长,,,,,,,,,,,,,,,,,,
youyou-3-33,Who's Stronger,谁更强壮？,悠游阅读成长计划3—6,giant,巨人,village,村子,show off,炫耀,fair,集市,win,赢,ashamed,羞愧的,,,,,,,,,,,,,,,,,,
youyou-3-34,Lazybones Does the Shopping,懒骨头购物记,悠游阅读成长计划3—6,pail,桶,polish,擦亮,pork,猪肉,nail,钉子,board,木板,cork,木塞,,,,,,,,,,,,,,,,,,
youyou-3-35,The Princess in Trousers,穿裤子的公主,悠游阅读成长计划3—6,princess,公主,football,足球,queen,王后,handstand,倒立,prince,王子,trousers,裤子,,,,,,,,,,,,,,,,,,
youyou-3-36,The Lost Crane,迷路的白鹤,悠游阅读成长计划3—6,crane,鹤,leader,领导者,sunset,日落,biggest,最大的,blow,（风）吹,roar,轰鸣,,,,,,,,,,,,,,,,,,
youyou-3-37,A Strange Noise,奇怪的响声,悠游阅读成长计划3—7,garden shed,花园工具屋,dusk,黄昏,wonder,感到疑惑,mat,地垫,get out of bed,起床,basement,地下室,,,,,,,,,,,,,,,,,,
youyou-3-38,Mozzy Mosquito,倒霉的蚊子,悠游阅读成长计划3—7,thirsty,渴的,blood,血,ginger,姜黄色的,suck,吸,cover,覆盖,spray,喷雾,,,,,,,,,,,,,,,,,,
youyou-3-39,Marvin Skates,马文溜冰,悠游阅读成长计划3—7,skate,滑冰,town,城镇,moose,麋鹿,terrible,糟糕的,discouraged,灰心的,surprise,使惊讶,,,,,,,,,,,,,,,,,,
youyou-3-40,Vegetables Fly Away,蔬菜刮跑了,悠游阅读成长计划3—7,vegetables,蔬菜,harvest,收获,green pepper,青椒,eggplant,茄子,drop,落下,beaver,河狸,,,,,,,,,,,,,,,,,,
youyou-3-41,We Can Fly,我们能飞,悠游阅读成长计划3—7,starved,饥饿的,whisper,悄声说,frightened,害怕的,edge,边缘,slip,滑倒,flap,拍动,,,,,,,,,,,,,,,,,,
youyou-3-42,Fox Brothers Want a Playground,狐狸的游乐场,悠游阅读成长计划3—7,plan,计划,playground,游乐场,woods,树林,berries,浆果,ax,斧子,think over,仔细考虑,,,,,,,,,,,,,,,,,,
youyou-3-43,Mike's Cool Bike,迈克的自行车,悠游阅读成长计划3—8,screwdriver,螺丝刀,saw,锯,glue,胶水,hand,指针,number,数字,spoke,辐条,,,,,,,,,,,,,,,,,,
youyou-3-44,Big Ears,大耳朵比利,悠游阅读成长计划3—8,blackboard,黑板,note,便签,seat ,座位,raindrop,雨点,game,游戏,fan,扇子,,,,,,,,,,,,,,,,,,
youyou-3-45,Rodney Runs from Lunch,罗德尼的午餐,悠游阅读成长计划3—8,planet,行星,visit,拜访,awful,糟糕的,milkshake,奶昔,jellyfish,水母,lemonade,柠檬水,,,,,,,,,,,,,,,,,,
youyou-3-46,The King's Not Well,国王没胃口,悠游阅读成长计划3—8,rich food,大鱼大肉,ham,火腿,pizza,披萨,roast turkey,烤火鸡,palace,宫殿,porridge,粥,,,,,,,,,,,,,,,,,,
youyou-3-47,Frankie's Flying Machine,长翅膀的猫,悠游阅读成长计划3—8,trash can,垃圾桶,fat,胖的,surprised,惊讶的,light pole,路灯杆,stick,变速杆,save,救,,,,,,,,,,,,,,,,,,
youyou-3-48,The Perfect Mouse House,完美的家,悠游阅读成长计划3—8,through,穿过,freezing,极冷的,armchair,扶手椅,log,大木头,digging,挖,perfect,完美的,,,,,,,,,,,,,,,,,,
youyou-3-49,Five Angry Elephants,五只生气的大象,悠游阅读成长计划3—9,sore throat,嗓子疼,syrup,糖浆,medicine,药,swamp,沼泽,swat,猛击,swarming,成群飞舞的,,,,,,,,,,,,,,,,,,
youyou-3-50,Blast Off!,发射！,悠游阅读成长计划3—9,space museum,太空博物馆,guide,导游,astronaut,宇航员,spaceship,宇宙飞船,keyboard,键盘,satellite,卫星,,,,,,,,,,,,,,,,,,
youyou-3-51,Whose tooth,谁的牙齿？,悠游阅读成长计划3—9,tusk,长牙,warthog,疣猪,aquarium,水族馆,orca,鲸鱼,walrus,海象,T-Rex,霸王龙,,,,,,,,,,,,,,,,,,
youyou-3-52,"""Careless"" Kenny","""粗心的""肯尼",悠游阅读成长计划3—9,go camping,去露营,airbed,充气床垫,barbecue,烧烤野餐,flat,没气的,plug,塞子,bowerbird,园丁鸟,,,,,,,,,,,,,,,,,,
youyou-3-53,Twins Trouble,双胞胎的麻烦,悠游阅读成长计划3—9,twins,双胞胎,alike,相像的,share,共用,model airplane,飞机模型,yell,叫喊,can,罐头,,,,,,,,,,,,,,,,,,
youyou-3-54,It's Time to Go,该出发了,悠游阅读成长计划3—9,Monday,星期一,school bag,书包,phone,手机,pocket,口袋,sitting room,起居室,key,钥匙,,,,,,,,,,,,,,,,,,
youyou-3-55,A Tasty Journey,旅行中的美食,悠游阅读成长计划3—10,curry,咖喱饭,below,在下面,sushi,寿司,taco,墨西哥薄饼卷,hamburger,汉堡包,French bread,法式面包,,,,,,,,,,,,,,,,,,
youyou-3-56,Where Are My Toys?,我的玩具呢？,悠游阅读成长计划3—10,missing,不见的,cream,奶油,go upstairs,上楼,go downstairs,下楼,surprise,惊喜的,oak tree,橡树,,,,,,,,,,,,,,,,,,
youyou-3-57,The First Flight in Space,第一次太空飞行,悠游阅读成长计划3—10,alarm,报警,radar,雷达,examine,检查,damage,损坏,a sheet of metal,一片金属,hammer,锤子,,,,,,,,,,,,,,,,,,
youyou-3-58,Freddy the Free Fish,自由的小鱼,悠游阅读成长计划3—10,ocean,海洋,group,群,discover,发现,voice,声音,dizzy,眩晕的,move,移动,,,,,,,,,,,,,,,,,,
youyou-3-59,The Magic Bubble,魔法泡泡,悠游阅读成长计划3—10,class,班,teacher,老师,performer,表演者,ring,圈,burst into tears,突然大哭,pop,发出啪的一声,,,,,,,,,,,,,,,,,,
youyou-3-60,Jojo Writes to the King,给国王写信,悠游阅读成长计划3—10,write,写,letter,信,post,邮寄,meet,见面,flu,流感,receive,收到,,,,,,,,,,,,,,,,,,
